Open.Year,Show.Name,Show.Type,Show.Theatre
1998,Cabaret 98,Musical,Kit Kat Klub Theatre
1998,Cabaret 98,Musical,Studio 54 ('98) Theatre
1997,Candide,Musical,Gershwin Theatre
2004,"Caroline, Or Change",Musical,Eugene O'Neill Theatre
2014,Casa Valentina,Play,Friedman Theatre
2003,Cat On A Hot Tin Roof 03,Play,Music Box Theatre
2008,Cat On A Hot Tin Roof 08,Play,Broadhurst Theatre
2012,Cat On A Hot Tin Roof '12,Play,Richard Rodgers Theatre
2011,Catch Me If You Can,Musical,Neil Simon Theatre
1995,Cats,Musical,Winter Garden Theatre
2016,Cats 2016,Musical,Neil Simon Theatre
2012,Chaplin,Musical,Ethel Barrymore Theatre
1996,Chicago,Musical,Richard Rodgers Theatre
1997,Chicago,Musical,Shubert Theatre
2003,Chicago,Musical,Ambassador Theatre
2015,China Doll,Play,Schoenfeld Theatre
2011,Chinglish,Play,Longacre Theatre
2005,Chita Rivera: The Dancer'S Life,Musical,Schoenfeld Theatre
2005,Chitty Chitty Bang Bang,Musical,Hilton Theatre Theatre
1995,Chronicle Of A Death Foretold,Musical,Plymouth Theatre
2013,Cinderella,Musical,Broadway Theatre
2008,Cirque Dreams: Jungle Fantasy,Special,Broadway Theatre
1999,Closer,Play,Music Box Theatre
2012,Clybourne Park,Play,Walter Kerr Theatre
1998,Colin Quinn - An Irish Wake,Play,Helen Hayes Theatre
2010,Colin Quinn: Long Story Short,Play,Helen Hayes Theatre
2010,Collected Stories,Play,Friedman Theatre
2008,"Come Back, Little Sheba",Play,Biltmore Theatre
2010,Come Fly Away,Musical,Marquis Theatre
2006,Company 06,Musical,Ethel Barrymore Theatre
1995,Company 95,Musical,Criterion Theatre
2014,Constellations,Play,Friedman Theatre
2000,Contact,Musical,Vivian Beaumont Theatre
2000,Copenhagen,Play,Royale Theatre
2007,Coram Boy,Play,Imperial Theatre
2008,Cry Baby,Musical,Marquis Theatre
2007,Curtains,Musical,Al Hirschfeld Theatre
2007,Cymbeline,Play,Vivian Beaumont Theatre
2007,Cyrano De Bergerac,Play,Richard Rodgers Theatre
2012,Cyrano De Bergerac '12,Play,American Airlines Theatre
2004,Dame Edna:  Back With A Vengeance,Play,Music Box Theatre
1999,Dame Edna: The Royal Tour,Play,Booth Theatre
2015,Dames At Sea,Musical,Helen Hayes Theatre
2001,Dance Of Death,Play,Broadhurst Theatre
2002,Dance Of The Vampires,Musical,Minskoff Theatre
1995,Danny Gans On Broadway,Special,Neil Simon Theatre
2012,Dead Accounts,Play,Music Box Theatre
2012,Death Of A Salesman '12,Play,Ethel Barrymore Theatre
1999,Death Of A Salesman 99,Play,Eugene O'Neill Theatre
2002,Def Poetry Jam,Play,Longacre Theatre
1995,Defending The Caveman,Play,Helen Hayes Theatre
1997,Defending The Caveman,Play,Booth Theatre
2004,Democracy,Play,Brooks Atkinson Theatre
2001,Design For Living 01,Play,American Airlines Theatre
2009,Desire Under The Elms,Play,St. James Theatre
2007,Deuce,Play,Music Box Theatre
2002,Dinner At Eight,Play,Vivian Beaumont Theatre
2000,Dirty Blonde,Play,Helen Hayes Theatre
2005,Dirty Rotten Scoundrels,Musical,Imperial Theatre
2016,Disaster!,Musical,Nederlander Theatre
2014,Disgraced,Play,Lyceum Theatre
2008,Dividing The Estate,Play,Booth Theatre
2015,Doctor Zhivago,Musical,Broadway Theatre
2010,Donny & Marie: A Broadway Christmas,Special,Marquis Theatre
2012,Don'T Dress For Dinner,Play,American Airlines Theatre
2005,Doubt,Play,Walter Kerr Theatre
2006,Dr. Seuss' How The Grinch Stole Christmas!,Musical,Hilton Theatre Theatre
2007,Dr. Seuss' How The Grinch Stole Christmas! 07,Musical,St. James Theatre
2004,"Dracula, The Musical",Musical,Belasco Theatre
1997,Dream: The Johnny Mercer Musical,Musical,Royale Theatre
1996,Dreams And Nightmares,Special,Martin Beck Theatre
2010,Driving Miss Daisy,Play,Golden Theatre
2004,Drowning Crow,Play,Biltmore Theatre
2016,Eclipsed,Play,Golden Theatre
2002,Elaine Stritch At Liberty,Musical,Neil Simon Theatre
1998,Electra,Play,Ethel Barrymore Theatre
2010,Elf,Musical,Al Hirschfeld Theatre
2012,Elf '12,Musical,Al Hirschfeld Theatre
2010,Elling,Play,Ethel Barrymore Theatre
2003,Enchanted April,Play,Belasco Theatre
2012,End Of The Rainbow,Play,Belasco Theatre
2010,Enron,Play,Broadhurst Theatre
1999,Epic Proportions,Play,Helen Hayes Theatre
2008,Equus,Play,Broadhurst Theatre
1997,Eugene Onegin,Special,Martin Beck Theatre
2010,Everyday Rapture,Musical,American Airlines Theatre
2012,Evita,Musical,Marquis Theatre
2009,Exit The King,Play,Ethel Barrymore Theatre
2006,Faith Healer,Play,Booth Theatre
2009,Fela!,Musical,Eugene O'Neill Theatre
2012,Fela! '12,Musical,Al Hirschfeld Theatre
2010,Fences '10,Play,Cort Theatre
2006,Festen,Play,Music Box Theatre
2004,Fiddler On The Roof 04,Musical,Minskoff Theatre
2015,Fiddler On The Roof 2015,Musical,Broadway Theatre
2015,Finding Neverland,Musical,Lunt-Fontanne Theatre
2009,Finian'S Rainbow,Musical,St. James Theatre
2013,First Date,Musical,Longacre Theatre
2015,Fish In The Dark,Play,Cort Theatre
2002,Flower Drum Song,Musical,Virginia Theatre
2001,Follies,Musical,Belasco Theatre
2011,Follies '11,Musical,Marquis Theatre
2015,Fool For Love,Play,Friedman Theatre
1998,Fool Moon '98,Special,Brooks Atkinson Theatre
1998,Footloose,Musical,Richard Rodgers Theatre
2004,Forever Tango '04,Musical,Shubert Theatre
2013,Forever Tango '13,Special,Walter Kerr Theatre
1997,Forever Tango '97,Special,Walter Kerr Theatre
1998,Forever Tango '97,Special,Marquis Theatre
2002,Fortune'S Fool,Play,Music Box Theatre
1998,Fosse,Musical,Broadhurst Theatre
2002,Frankie And Johnny In The Claire De Lune,Play,Belasco Theatre
2012,Frankie Valli And The Four Seasons On Broadway,Special,Broadway Theatre
1998,Freak,Play,Cort Theatre
2007,Frost/Nixon,Play,Jacobs Theatre
2004,Frozen,Play,Circle In The Square Theatre
2016,Fully Committed,Play,Lyceum Theatre
2015,Fun Home,Musical,Circle In The Square Theatre
1995,Garden District,Play,Circle In The Square Theatre
2004,Gem Of The Ocean,Play,Walter Kerr Theatre
2001,George Gershwin Alone,Play,Helen Hayes Theatre
1998,Getting And Spending,Play,Helen Hayes Theatre
2011,Ghetto Klown,Play,Lyceum Theatre
2012,Ghost,Musical,Lunt-Fontanne Theatre
2015,Gigi,Musical,Neil Simon Theatre
2005,Glengarry Glen Ross '05,Play,Royale Theatre
2005,Glengarry Glen Ross '05,Play,Jacobs Theatre
2012,Glengarry Glen Ross '12,Play,Schoenfeld Theatre
2008,Glory Days,Musical,Circle In The Square Theatre
2009,God Of Carnage,Play,Jacobs Theatre
1996,"God Said ""Ha""",Play,Lyceum Theatre
2011,Godspell,Musical,Circle In The Square Theatre
2003,Golda'S Balcony,Play,Helen Hayes Theatre
2012,Golden Boy,Play,Belasco Theatre
