reviews
" 	""I am open minded about foul language and recognize it will always be a part of theater. As a Christian"
" 	I'll start this review by telling you about my mom. She's very Christian"
" 	The  levels of comedy are satire"
" 	Though I did find this show very offensive... I had to be honest with myself in how good of a show it was. Very entertaining at that! It's like you cringed"
" 	Really enjoyed this show on all levels. I'm not even remotely religious so was not offended on that front. Was never a South Park fan"
" 	All we heard about it was how funny it is. That's true"
" 	Could not believe how good this show was. Convulsive laughter throughout. Jon Stewart says it best: ?????so good it makes me angry. If aliens come thousands of years from now and this is the record of our time on Earth"
" 	I'm not a musical kind of guy"
" 	""Allow me to begin with a noteworthy point about this review. I wrote a review and TripAdvisor declined to post it because it violated their policy which forbids profanity or sexually explicit language. I actually respect them for it. After all"
" 	love this amazing musical. It was super entertaining! Definitely exceeded my expectations so will definitely watch again the next time it comes to my town. All the actors performed impressively and made the satire completely mesmerizing.			The Book of 	Non-Stop Laughter!	luxetrip	--	"
" 	Very funny Play - someone said it was written by the South Park creators which makes sense - makes fun about the  religion - how it started etc.. it was entertaining 			The Book of 	Good Play 	Chris K	--	"
" 	""My wife and I went to Book of  while in NYC. The theatre has that older character vibe and decor you see in most Broadway playhouses. The production was excellent as far as all the elements of musical theatre are concerned: excellent cast"
" 	The laughs come cheaply"
" 	Don't go if you are offended by irreverent humor. We found the acting and singing to be really terrific"
" 	""Been attending shows since Striesand in Funny Girl (the 's) and believe The Book of  is one of the funniest"
" 	Really just the most fun I've had in ages. Shoc"
" 	As a fan of South Park I was expecting more. The musical had it's moments but left me a little blah.			The Book of 	Good at times.	GregoryOrangeCounty	--	"
" 	Took a shot at same day tickets for the this sold out show. We found out that we could wait abot two hours for release of cancelled tickets or participate in the ticket lottery. The ticket lottery happens two hours before the show where they pick about - tickets and pick names out. The winner gets two center orchestra tickets for  each. We did not win but we ended up nd in line and got two great seats.  The show was worth the wait. It is a bit vulgar and not for the devout who may take offense at religious humor. The combination of great acting dancing and singing with a very interesting story make for a great night at the theatre. 			The Book of 	""Gotta love """" Book of """"""	diamond	--	"
" 	""I can't help it"
" 	I was howling within  seconds of curtain up"
" 	""The Book of  is a work of pure genius and the cast is amazing. The structure of the story and score is mainstream musical comedy so the show is very accessible. The play is % G rated humor and music punctuated by two songs and some scenes that are as vulgar as it is possible to be. If you look at the whole play and see its message it is quite acceptable and uplifting"
" 	A trip to NYC to see some Broadway shows and The Book of  was so awesome! Definite must see (again & again)!!! Not for the easily offended but do much fun!			The Book of 	Hilarious! A must see!	babsten	--	"
" 	""I absolutely love The Book of  and thought it was worth every penny of the full Broadway ticket price! We booked our tickets well in advance"
" 	This show has all the flash and flare of musicals in years gone by with an adult side. the underlying story is about two  missionaries in Uganda. Doesn't sound interesting"
" 	This show is amazing!! I'm a huge fan of Trey Parker and Matt Stone and love everything they do"
" 	love this show. Never laughed in a broadway show as much. But my friend was very offended by the themes. Do your research before you go. I love it..			The Book of 	Hysterical"
" 	Broadway at its best. Deserved the Tony. Book in advance!			The Book of 	Simply the best	Amy L	--	"
" 	This show was great"
" 	Clearly"
" 	this is a truly brilliant show. buy your tickets in advance and just look forward to going for the months you will have to wait. it is extremely funny because it is irreverent and witty.			The Book of 	worth the wait and the price	X-NYr	--	"
" 	Funny as hell"
" 	Satirical musical that combines a great score/singing and dancing with too many laugh out loud moments. Deserves the Tony for best musical.			The Book of 	South Park creators don't disappoint	PizzaPiano	--	"
" 	Took my husband and our son and his girlfriend. We all love the show. Raunchy but smart.			The Book of 	Hilarious	Inbetweeny	--	"
" 	This was really one of the funniest things my wife and I have ever seen. I won't spoil any of the story. Just go. WARNING: You may not like this if you don't like a certain curse word"
" 	The music was great"
" 	I took the family to see The Book of . Great fun but just be careful with children. The content is really suited for adults given the explicit language and sexual content that is animated on stage.			The Book of 	Great fun; Explicit content and language	SurLeNil	--	"
" 	We love this play!! Laughed the whole time. Very much like a South Park episode though...not for the easily offended. 			The Book of 	Hilarious!!	Chris S	--	"
" 	This was almost right up there with Spamalot. Waited in the cancellation line one day to get matinee tickets for the same day. We were offered producer's hold tickets for half the price"
" 	""The funniest show I've ever seen"
" 	Would have killed for a ticket"
" 	""What you can expect from the """"South Park"""" duo. Something to insult everyone. Don't bring the kids"
