Date.Year,Show.Name,Show.New.Name,Show.Theatre,Show.No,Show.Type
2012,Venus In Fur,Venus In Fur,Lyceum,34,Play
1999,Via Dolorosa,Via Dolorosa,Booth,36,Play
2014,Violet,Violet,American Airlines,47,Musical
1998,Wait Until Dark,Wait Until Dark,Brooks Atkinson,32,Play
2016,Waitress,Waitress,Brooks Atkinson,32,Musical
2011,War Horse,War Horse,Vivian Beaumont,32,Play
2004,Whoopi,Whoopi,Lyceum,34,Play
2012,Who'S Afraid Of Virginia Woolf? '12,Who'S Afraid Of Virginia Woolf? ,Booth,36,Play
2010,Women On The Verge Of A Nervous Breakdown,Women On The Verge Of A Nervous Breakdown,Belasco,29,Musical
2009,You'Re Welcome America. A Final Night With George W. Bush,You'Re Welcome America. A Final Night With George W. Bush,Cort,34,Special
